ticker,contractSymbol,strike,type,expiration,lastPrice,theoretical_price,mispricing,impliedVolatility,delta,theta,vega,openInterest,volume,daysToExpiry,expiryBucket,RSI,UpperBB,LowerBB,EMA_Signal,MACD_Hist,bb_norm,rsi_norm,trend_pass,missing_signal,score
IWM,O:IWM250530C00182000,182.0,call,2025-05-30,8.61,12.027596409204094,-3.4175964092040942,0.34102470825106723,0.5494015096368218,-57.0491165313133,0.23342220047390538,41,50,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00183000,183.0,call,2025-05-30,7.78,11.549005227804528,-3.769005227804528,0.3366725479721573,0.5355195921039559,-57.19078887676535,0.23429506855542534,213,12,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00184000,184.0,call,2025-05-30,6.95,11.084261447954674,-4.134261447954674,0.33140836042881205,0.5216702734081164,-57.26533441942985,0.23488091085403046,202,45,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00185000,185.0,call,2025-05-30,6.86,10.63324925727936,-3.7732492572793594,0.327030056903577,0.5078699825559669,-57.27343569082924,0.23518225472944412,221,272,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00186000,186.0,call,2025-05-30,6.5,10.195838080861208,-3.6958380808612077,0.3231078642758054,0.49413470657061215,-57.21600076266986,0.23520260383253516,44,8,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00187000,187.0,call,2025-05-30,5.69,9.771883276421889,-4.081883276421888,0.3202620482750244,0.48047994461074683,-57.09415201870658,0.23494639109412258,53,15,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00187500,187.5,call,2025-05-30,5.18,9.564903143910342,-4.384903143910343,0.31936857939420804,0.4736874560987827,-57.009478851451505,0.2347162009898794,5,47,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00188000,188.0,call,2025-05-30,5.93,9.36122685750118,-3.43122685750118,0.318478918476905,0.4669206661415811,-56.909214062325184,0.2344189279134299,241,8,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00189000,189.0,call,2025-05-30,4.73,8.963698239911238,-4.233698239911238,0.31753810655177567,0.4534712732311579,-56.66270088866421,0.23362635009662344,247,2,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00190000,190.0,call,2025-05-30,4.67,8.579115006840581,-3.9091150068405813,0.3137696775593099,0.44014556701155033,-56.35630244924529,0.23257556109302716,233,150,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00191000,191.0,call,2025-05-30,5.67,8.207283688104567,-2.5372836881045675,0.3085677546510766,0.42695671831204607,-55.99187073503381,0.23127417306859716,68,70,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00192000,192.0,call,2025-05-30,3.8,7.848000549189521,-4.0480005491895215,0.304577675611193,0.4139172424409773,-55.571405500719685,0.2297304463435375,93,52,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00193000,193.0,call,2025-05-30,3.34,7.5010523859089915,-4.161052385908992,0.3015511934093594,0.40103897806451394,-55.097039748900976,0.22795322770400236,8,35,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00194000,194.0,call,2025-05-30,3.03,7.166217320682364,-4.1362173206823645,0.29947537032043436,0.38833307010462725,-54.571025087888835,0.2259518880771677,15,3,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00195000,195.0,call,2025-05-30,2.89,6.843265596653872,-3.9532655966538717,0.29879733067218306,0.3758099565546211,-53.99571707114401,0.2237362600350489,91,166,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00196000,196.0,call,2025-05-30,2.52,6.53196036609242,-4.011960366092421,0.29740612722783577,0.3634793590892188,-53.37356062002209,0.22131657556579595,16,2,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00197000,197.0,call,2025-05-30,2.1,6.232058469744096,-4.132058469744097,0.2923854279241705,0.3513502773271643,-52.7070756246563,0.21870340452229184,30,14,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00198000,198.0,call,2025-05-30,2.03,5.9433112040520015,-3.9133112040520017,0.2888936240925898,0.339430986587702,-51.998842810557456,0.21590759412719152,12,11,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00199000,199.0,call,2025-05-30,1.67,5.665465073402885,-3.995465073402885,0.2863188391685701,0.32772903896805405,-51.25148995096239,0.21294020988151935,13,8,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00200000,200.0,call,2025-05-30,1.65,5.398262524811692,-3.748262524811692,0.2846480896397101,0.31625126755713817,-50.46767849721853,0.20981247819102306,283,362,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00201000,201.0,call,2025-05-30,1.32,5.141442662704783,-3.821442662704783,0.2844532029054846,0.30500379359113544,-49.65009069164552,0.2065357309910737,95,23,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00202000,202.0,call,2025-05-30,1.29,4.894741941713882,-3.6047419417138817,0.285290323280834,0.2939920363490801,-48.80141721945199,0.20312135261736677,68,3,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00202500,202.5,call,2025-05-30,1.16,4.775103341798939,-3.615103341798939,0.2825712567927703,0.28857605609282516,-48.366263599238906,0.20136611115055453,7,1505,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00203000,203.0,call,2025-05-30,1.08,4.657894835639105,-3.577894835639105,0.28073400572971036,0.2832207255812845,-47.92434544848894,0.19958072913638314,45,5,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00204000,204.0,call,2025-05-30,0.98,4.4306344809824765,-3.4506344809824765,0.2779497871518366,0.27269391626002426,-47.021548297960706,0.1959252003168077,38,9,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00205000,205.0,call,2025-05-30,0.89,4.212693293689966,-3.3226932936899662,0.27648112938762404,0.26241500544037183,-46.09567376975613,0.1921660143911672,231,46,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00206000,206.0,call,2025-05-30,0.71,4.003803557968361,-3.293803557968361,0.2758814675862602,0.25238675101923425,-45.14933516886331,0.18831428572608083,20,6,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00207000,207.0,call,2025-05-30,0.64,3.8036979862645666,-3.1636979862645664,0.2765652350051007,0.242611292182415,-44.18510203243938,0.1843809554899326,33,22,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00208000,208.0,call,2025-05-30,0.61,3.612110249704969,-3.002110249704969,0.27809233300689296,0.23309017133270915,-43.20549178056444,0.1803767553786513,144,22,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00210000,210.0,call,2025-05-30,0.46,3.2534307319520295,-2.7934307319520295,0.2750473797794725,0.2148142696122446,-41.2099040309166,0.17219742896219942,495,40,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00215000,215.0,call,2025-05-30,0.26,2.4875423168959294,-2.2275423168959296,0.2808510502744633,0.17357918614916767,-36.11499366977583,0.15120656641487024,105,8,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00220000,220.0,call,2025-05-30,0.18,1.8837565346771221,-1.7037565346771222,0.29104733680704725,0.13852986734348516,-31.06840528985322,0.13029840639730406,138,17,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530C00225000,225.0,call,2025-05-30,0.13,1.4134693449343274,-1.2834693449343275,0.30566237682832886,0.10925852493426758,-26.26946509263151,0.11033416947001047,23,1,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00155000,155.0,put,2025-05-30,1.18,1.905659819188493,-0.7256598191884931,0.4089882714764682,-0.1251183456509795,-27.56204359520119,0.12145750842763849,8542,11,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00159000,159.0,put,2025-05-30,1.44,2.6285285475069102,-1.1885285475069103,0.3954490928557006,-0.16181121723841668,-32.71422567232135,0.14452177543189476,56,1,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00160000,160.0,put,2025-05-30,1.6,2.836739602268647,-1.236739602268647,0.39051549153087484,-0.17182001213399917,-33.98288617659996,0.15022785650283013,3168,89,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00161000,161.0,put,2025-05-30,1.67,3.0565656227021876,-1.3865656227021876,0.3852745210858057,-0.1821496249511847,-35.235412552246814,0.15587374810030505,51,3,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00162000,162.0,put,2025-05-30,1.88,3.288293828829808,-1.408293828829808,0.3807650726138266,-0.19279144002240145,-36.467636583990554,0.16144139868594232,56,19,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00163000,163.0,put,2025-05-30,1.69,3.5321975877942435,-1.8421975877942436,0.37766435385077907,-0.203735803566492,-37.675443377828195,0.16691295931921127,47,32,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00165000,165.0,put,2025-05-30,2.4,4.05755072596677,-1.6575507259667703,0.3728928548554731,-0.22648863024989935,-40.00175954961785,0.1774980653198076,5558,229,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00166000,166.0,put,2025-05-30,2.57,4.33946996718425,-1.7694699671842504,0.3715240975185735,-0.23827300431392573,-41.112523418601846,0.18257786847341972,38,7,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00167000,167.0,put,2025-05-30,2.83,4.634503088292192,-1.8045030882921917,0.37027267369983446,-0.2503118597137935,-42.183423309195405,0.18749428967370402,21,12,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00168000,168.0,put,2025-05-30,3.2,4.94284239885306,-1.7428423988530595,0.3644341994578186,-0.26259109316861945,-43.21096109886096,0.19223201144480864,26,3,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00169000,169.0,put,2025-05-30,2.57,5.264662187016455,-2.6946621870164553,0.3599268933667912,-0.27509589222811265,-44.19182346156852,0.1967764902712614,29,2,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00170000,170.0,put,2025-05-30,3.36,5.600118309358521,-2.2401183093585213,0.35545382932801595,-0.28781080387475166,-45.12289877548157,0.20111403070995718,382,56,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00171000,171.0,put,2025-05-30,3.68,5.949347865489351,-2.2693478654893506,0.3522814046527632,-0.30071980558691325,-46.001292268114575,0.20523185200792818,17,5,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00172000,172.0,put,2025-05-30,4.32,6.31246895727481,-1.9924689572748093,0.3496419851112524,-0.31380637829209324,-46.82433932139834,0.20911814687962463,61,6,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00173000,173.0,put,2025-05-30,4.44,6.6895805319203845,-2.249580531920384,0.3480157722264801,-0.32705358064365403,-47.58961688034238,0.21276213218864903,10,2,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00174000,174.0,put,2025-05-30,4.37,7.080762307596686,-2.710762307596686,0.34661706887766197,-0.3404441240642614,-48.294952929865126,0.2161540913686483,89,15,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00175000,175.0,put,2025-05-30,4.64,7.486074779754148,-2.846074779754148,0.34572807802366046,-0.35396044801398885,-48.93843402463251,0.2192854085053269,162,149,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00176000,176.0,put,2025-05-30,3.54,7.905559305781978,-4.365559305781978,0.34015270763840205,-0.3675847949604637,-49.51841087617798,0.2221485940853181,190,61,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00177000,177.0,put,2025-05-30,5.3,8.33923826521523,-3.0392382652152294,0.33527421690045417,-0.3812992845519728,-50.03350201997767,0.22473730249710813,50,12,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00177500,177.5,put,2025-05-30,5.82,8.561402517609125,-2.7414025176091243,0.3336045965426695,-0.3881847296207843,-50.26635745436988,0.22592706002575758,79,11,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00178000,178.0,put,2025-05-30,5.55,8.787115292287424,-3.2371152922874247,0.3317183813062274,-0.39508598652161725,-50.48259560235746,0.22704634144360974,191,43,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00179000,179.0,put,2025-05-30,6.35,9.249175577264722,-2.8991755772647227,0.32818460791737536,-0.4089269918809234,-50.86484934297304,0.22907167349472385,165,2,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00180000,180.0,put,2025-05-30,6.44,9.725386232682595,-3.285386232682595,0.3257399879713781,-0.4228044819942224,-51.17968874301715,0.230810410070809,403,89,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00181000,181.0,put,2025-05-30,7.38,10.215696720338585,-2.8356967203385848,0.3241180242668814,-0.43670079516014193,-51.42680362218991,0.2322607982040401,136,6,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00182000,182.0,put,2025-05-30,7.23,10.720039334672634,-3.490039334672634,0.323209221224822,-0.45059849036317823,-51.60614307875433,0.23342220047390538,118,27,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00182500,182.5,put,2025-05-30,7.57,10.977446967884092,-3.4074469678840913,0.3218738750532911,-0.45754248124233765,-51.67045043889291,0.2338946313624604,59,2,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00183000,183.0,put,2025-05-30,7.87,11.238329737990853,-3.3683297379908526,0.319334280962071,-0.464480407896044,-51.71790897666484,0.23429506855542534,88,15,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00184000,184.0,put,2025-05-30,8.13,11.77046754285874,-3.6404675428587385,0.3140713032429209,-0.47832972659188355,-51.762548071787805,0.23488091085403046,418,283,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00185000,185.0,put,2025-05-30,8.7,12.316336936901195,-3.6163369369011953,0.3098649643450057,-0.492130017444033,-51.74074289564567,0.23518225472944412,3611,160,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00186000,186.0,put,2025-05-30,9.74,12.875807345200798,-3.1358073452007975,0.3065190064100828,-0.5058652934293878,-51.65340151994475,0.23520260383253516,33,21,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00187000,187.0,put,2025-05-30,9.8,13.448734125479248,-3.6487341254792476,0.304186885704745,-0.5195200553892532,-51.50164632843993,0.23494639109412258,45,5,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00187500,187.5,put,2025-05-30,8.93,13.74019478532658,-4.81019478532658,0.30331183394012423,-0.5263125439012173,-51.402019937414096,0.2347162009898794,36,5,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00188000,188.0,put,2025-05-30,10.15,14.034959291276294,-3.884959291276294,0.302407507072268,-0.5330793338584189,-51.28680192451701,0.2344189279134299,30,6,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00190000,190.0,put,2025-05-30,11.7,15.24661061005122,-3.5466106100512214,0.29613327736339123,-0.5598544329884496,-50.67407741635405,0.23257556109302716,39,3,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00191000,191.0,put,2025-05-30,13.04,15.871660876032976,-2.831660876032977,0.29125785334758914,-0.5730432816879539,-50.27973925460103,0.23127417306859716,15,1,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00192000,192.0,put,2025-05-30,10.07,16.509259321835685,-6.439259321835685,0.28754941761239616,-0.5860827575590227,-49.829367572745376,0.2297304463435375,20,18,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00193000,193.0,put,2025-05-30,13.65,17.15919274327291,-3.5091927432729104,0.2851691840260496,-0.5989610219354861,-49.32509537338513,0.22795322770400236,8,2,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00194000,194.0,put,2025-05-30,13.22,17.82123926276404,-4.601239262764038,0.2835854551971667,-0.6116669298953727,-48.76917426483146,0.2259518880771677,8,2,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00195000,195.0,put,2025-05-30,15.67,18.495169123453294,-2.8251691234532945,0.2824421459503059,-0.6241900434453789,-48.1639598005451,0.2237362600350489,7,3,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00196000,196.0,put,2025-05-30,13.11,19.18074547760962,-6.07074547760962,0.27728750985357886,-0.6365206409107812,-47.51189690188165,0.22131657556579595,7,4,39,31-60,,,,,,0.0,,False,False,4
